股票代码,股票简称,最新价,最新涨跌幅,所属同花顺行业,主力资金流向[20260402],最新dde大单净额,所属概念,总股本[20260415],市盈率(pe)[20260415],主力买入金额[20260402],主力卖出金额[20260402],market_code,code
300532.SZ,今天国际,11.8,0.8547008547008669,计算机-IT服务-IT服务Ⅲ,-3627279.0,-4242045.000,新型工业化;智能物流;区块链;数字孪生;机器视觉;机器人概念;工业互联网;华为概念;华为鲲鹏;比亚迪概念;5G;特斯拉概念;一带一路;统一大市场;储能;宁德时代概念;高股息精选;股权转让(并购重组);深股通,454028786.00,22.784,7527344.0,11154623.0,33,300532
002698.SZ,博实股份,14.16,0.8547008547008619,机械设备-自动化设备-机器人,-5827412.0,1090580.000,新型工业化;人形机器人;机器人概念;智能物流;工业互联网;智能医疗;专精特新;医疗器械概念;创投;高端装备;中俄贸易概念;3D打印;黑龙江自贸区;污水处理;深股通;融资融券,1022561575.00,25.515,398400.0,6225812.0,33,002698
601939.SH,建设银行,9.44,0.8547008547008556,银行-银行-国有大型银行,57158778.0,14157846.000,高股息精选;同花顺中特估100;证金持股;沪股通;融资融券;跨境支付(CIPS),261600381459.00,7.287,195045021.0,137886243.0,17,601939
688262.SH,国芯科技,35.46,0.8532423208191249,电子-半导体-数字芯片设计,-62845802.0,2142455.700,国家大基金持股;MCU芯片;汽车芯片;存储芯片;先进封装;数据安全;信创;星闪概念;电子身份证;量子科技;网络安全;芯片概念;东数西算(算力);鸿蒙概念;智能座舱;汽车电子;车联网(车路协同);安防;数字货币;无线充电;物联网;商业航天;无人驾驶;比亚迪概念;长安汽车概念;智能电网;沪股通;融资融券,335999913.00,-49.480,39437352.0,102283154.0,17,688262
002012.SZ,凯恩股份,7.1,0.8522727272727217,轻工制造-造纸-造纸Ⅲ,-1083288.0,3756237.000,烟草;碳中和;超级电容;共同富裕示范区;储能;数字经济;互联网金融;数据要素,467625470.00,104.742,2049073.0,3132361.0,33,002012
000158.SZ,常山北明,17.75,0.8522727272727191,计算机-IT服务-IT服务Ⅲ,-10697314.2,-12896891.000,华为盘古;鸿蒙概念;华为鲲鹏;智慧政务;区块链;互联网金融;智慧城市;数字经济;信创;数据安全;网络安全;云计算;华为昇腾;国资云;DeepSeek概念;数据确权;算力租赁;百度概念;车联网(车路协同);ERP概念;腾讯概念;阿里巴巴概念;人工智能;智谱AI;抖音概念(字节概念);京津冀一体化;东数西算(算力);华为概念;工业互联网;数据中心;国企改革;物业管理;参股银行;冷链物流;充电桩;绿色电力;AI应用;深股通;融资融券,1598616721.00,848.384,19038746.0,29736060.2,33,000158
920580.BJ,科创新材,13.02,0.8520526723470134,建筑材料-建筑材料-耐火材料,,,2025年报预增;硅能源;第三代半导体;融资融券;钠离子电池;专精特新,86000000.00,63.274,,,151,920580
002511.SZ,中顺洁柔,8.29,0.8515815085157968,美容护理-美容护理-个护用品,9198213.0,-3310556.000,三胎概念;IP经济(谷子经济);2025年报预增;深股通;融资融券,1286377813.00,33.471,13875195.0,4676982.0,33,002511
300725.SZ,药石科技,39.12,0.8507347254446979,医药生物-医疗服务-医疗研发外包,-11784837.0,6117217.000,CRO概念;智能医疗;创新药;合成生物;人工智能;AI应用;人民币贬值受益;深股通;融资融券,233807341.00,60.498,53201703.0,64986540.0,33,300725
920262.BJ,太湖雪,20.16,0.8504252126063118,纺织服饰-服装家纺-家纺,,,数据要素;IP经济(谷子经济);跨境电商;网红经济;三胎概念;融资融券,69114185.00,36.040,,,151,920262
600025.SH,华能水电,9.49,0.8501594048884173,公用事业-电力-水电,-3240223.8000000007,10902639.000,绿色电力;央企国企改革;风电;国企改革;同花顺漂亮100;西部大开发;沪股通;水利;DeepSeek概念;华为概念;融资融券,18631094257.00,17.589,13127749.0,16367972.8,17,600025
688004.SH,博汇科技,22.54,0.850111856823256,计算机-IT服务-IT服务Ⅲ,-754643.6399999999,365348.580,文化传媒概念;在线教育;数据安全;AIGC概念;网络安全;信创;数据要素;华为鲲鹏;多模态AI;人工智能;数字孪生;华为概念;回购增持再贷款概念;融资融券,80088000.00,-79.486,945777.76,1700421.4,17,688004
688010.SH,福光股份,34.42,0.8496923527688225,电子-光学光电子-光学元件,-1311410.7000000002,-1979570.800,光刻机;商业航天;MicroLED概念;卫星导航;机器视觉;华为概念;安防;军工;无人驾驶;军民融合;机器人概念;专精特新;区块链;海峡两岸;福建自贸区;沪股通;融资融券,160561578.00,435.359,4878689.0,6190099.7,17,688010
300965.SZ,恒宇信通,55.79,0.8496023138105547,国防军工-军工装备-航空装备,460373.0,925230.000,军民融合;军工;卫星导航;无人机;融资融券;摘帽,60000000.00,92.812,1522286.0,1061913.0,33,300965
002638.SZ,勤上股份,4.75,0.849256900212315,电子-光学光电子-LED,-20885693.0,8858905.000,储能;智慧灯杆;智慧城市;华为概念;人民币贬值受益;车联网(车路协同);5G,1436594349.00,-20.860,29933028.0,50818721.0,33,002638
300447.SZ,全信股份,20.23,0.8474576271186526,国防军工-军工电子-军工电子Ⅲ,1482307.0,-12390902.000,军工信息化;商业航天;卫星导航;大飞机;军民融合;成飞概念;军工;无人机;低空经济;光纤概念;高铁;芯片概念;专精特新;共封装光学(CPO);2025年报预增,312310375.00,213.052,17689240.0,16206933.0,33,300447
603716.SH,塞力医疗,23.8,0.847457627118641,医药生物-医药商业-医药流通,4068439.0,-3998239.000,脑机接口;细胞免疫治疗;生物疫苗;DRG/DIP;智能医疗;创新药;养老概念;医疗器械概念;人工智能;鸿蒙概念;DeepSeek概念;信创;数据安全;网络安全;医疗废物处理;固废处理;AI应用;华为概念;沪股通,225790770.00,-46.196,92102847.0,88034408.0,17,603716
603817.SH,海峡环保,7.17,0.8438818565400789,环保-环境治理-水务及水治理,-3077077.0,8617490.000,PPP概念;绿色电力;垃圾分类;污水处理;固废处理;福建自贸区;海峡两岸;国企改革,570084039.00,15.924,6370589.0,9447666.0,17,603817
301042.SZ,安联锐视,94.79,0.8404255319149002,计算机-计算机设备-安防设备,5482063.0,-12237841.000,智慧城市;人脸识别;DeepSeek概念;跨境电商;安防;机器人概念;人工智能;智能家居;机器视觉;人民币贬值受益;融资融券,69723577.00,326.824,21209514.0,15727451.0,33,301042
300708.SZ,聚灿光电,9.62,0.8385744234800847,电子-光学光电子-LED,-32233066.4,6240935.000,MicroLED概念;MiniLED;第三代半导体;芯片概念;深股通,938915144.00,44.056,29589802.6,61822869.0,33,300708
600259.SH,中稀有色,92.72,0.8374116367591039,有色金属-小金属-稀土,-33488520.0,17853245.000,稀土永磁;金属铜;小金属概念;2026一季报预增;央企国企改革;海南自贸区;国企改革;粤港澳大湾区;融资融券;中字头股票;沪股通,336435910.00,244.554,52705638.0,86194158.0,17,600259
301367.SZ,瑞迈特,69.97,0.8358553105634793,医药生物-医疗器械-医疗设备,1152763.0,992926.000,医疗器械概念;京津冀一体化;人民币贬值受益;机器人概念;深股通;融资融券,89600000.00,26.121,12657813.0,11505050.0,33,301367
601899.SH,紫金矿业,35.09,0.8333333333333514,有色金属-贵金属-贵金属Ⅲ,-1004322650.0,287546020.000,黄金概念;金属铅;金属锌;金属铜;小金属概念;金属钴;盐湖提锂;同花顺出海50;2025年报预增;一带一路;锂电池概念;国企改革;同花顺中特估100;氢能源;同花顺漂亮100;福建自贸区;沪股通;融资融券;证金持股,26590714622.00,18.021,1669062410.0,2673385060.0,17,601899
603728.SH,鸣志电器,59.36,0.8323424494649261,电力设备-电机-电机Ⅲ,-7564058.0,7592768.000,减速器;人形机器人;智能座舱;同花顺新质50;新能源汽车;机器人概念;无人驾驶;专精特新;华为概念;5G;沪股通;融资融券,418882500.00,374.186,4373373.0,11937431.0,17,603728
